Time, Voltage, PWM
100.155000, 17.724609, 108
101.150000, 20.947264, 110
102.029000, 22.558594, 110
102.863000, 24.169922, 110
103.757000, 21.752930, 110
104.539000, 20.141602, 110
105.603000, 24.975584, 110
106.447000, 26.586914, 110
107.304000, 24.169922, 110
108.545000, 21.752930, 110
109.438000, 18.530273, 110
110.201000, 23.364258, 110
110.861000, 24.975584, 110
111.948000, 24.169922, 110
113.093000, 20.947264, 110
113.958000, 17.724609, 110
114.737000, 18.530273, 110
115.605000, 21.752930, 110
116.457000, 21.752930, 110
117.312000, 24.169922, 110
118.156000, 19.335938, 110
119.168000, 15.307617, 110
119.900000, 19.335938, 110
120.709000, 21.752930, 110
121.544000, 21.752930, 110
122.382000, 20.947264, 110
123.187000, 20.141602, 110
124.028000, 16.918943, 110
124.841000, 19.335938, 110
125.624000, 20.947264, 110
126.385000, 20.947264, 110
127.177000, 20.141602, 110
128.026000, 18.530273, 110
128.805000, 15.307617, 110
129.510000, 16.918943, 110
130.266000, 18.530273, 110
131.086000, 18.530273, 110
131.865000, 18.530273, 110
132.627000, 18.530273, 110
133.382000, 16.918943, 110
134.819000, 14.501952, 110
135.864000, 12.890625, 110
136.557000, 15.307617, 110
137.575000, 19.335938, 110
138.388000, 18.530273, 110
139.231000, 18.530273, 110
140.133000, 16.113281, 110
140.867000, 15.307617, 110
141.747000, 12.890625, 110
142.587000, 16.113281, 110
143.702000, 16.918943, 110
144.734000, 16.918943, 110
145.650000, 18.530273, 110
146.377000, 16.918943, 110
147.101000, 15.307617, 110
148.186000, 13.696289, 110
149.365000, 13.696289, 110
150.119000, 17.724609, 110
151.021000, 17.724609, 110
151.935000, 16.918943, 110
152.884000, 16.918943, 110
153.733000, 14.501952, 110
154.534000, 12.084961, 110
155.409000, 11.279297, 110
156.230000, 13.696289, 110
157.072000, 14.501952, 110
157.788000, 15.307617, 110
158.565000, 15.307617, 110
159.290000, 13.696289, 110
160.256000, 12.890625, 110
161.113000, 12.890625, 110
162.023000, 12.084961, 110
162.703000, 10.473632, 110
163.418000, 11.279297, 110
164.340000, 12.084961, 110
165.323000, 12.084961, 110
166.143000, 12.890625, 110
167.214000, 12.084961, 110
168.147000, 11.279297, 110
169.367000, 12.890625, 110
170.380000, 11.279297, 110
171.035000, 10.473632, 110
171.744000, 7.250976, 105
172.208000, 9.667969, 105
173.196000, 11.279297, 106
174.273000, 11.279297, 107
175.170000, 11.279297, 108
176.031000, 11.279297, 109
176.717000, 11.279297, 110
177.469000, 11.279297, 110
177.980000, 10.473632, 110
178.555000, 10.473632, 110
179.254000, 9.667969, 110
